skill_area,levels,topics
Coding,Level 1, Basic programming concepts; Variables and data types; Input-output handling; Control flow statements
Coding,Level 2, Functions and modular coding; Loops and conditionals mastery; Basic debugging techniques; Code readability and formatting
Coding,Level 3, Arrays and strings handling; Basic problem-solving patterns; Introduction to recursion; Error handling concepts
Coding,Level 4, Object-oriented programming basics; Classes and objects; Basic data structures usage; Code reuse and modular design
Coding,Level 5, Standard algorithms implementation; File handling; Use of libraries and APIs; Basic time and space complexity analysis
Coding,Level 6, Advanced data structures usage; Algorithmic problem solving; Code optimization techniques; Version control with Git
Coding,Level 7, Design patterns basics; Writing scalable and maintainable code; Exception handling strategies; Debugging complex codebases
Coding,Level 8, Performance optimization; Memory management concepts; Writing testable code; Competitive programming patterns
Coding,Level 9, System-level coding practices; Low-level design implementation; Code review and refactoring expertise; Handling edge cases at scale
Coding,Level 10, Architecture-level coding decisions; Building reusable frameworks; High-performance and concurrent programming; Code quality governance and best practices
Data Structures and Algorithms,Level 1, Understanding algorithms vs programs; Basic time and space complexity intuition; Primitive data types; Arrays and strings basics
Data Structures and Algorithms,Level 2, Linear search; Basic recursion concepts; Arrays operations; String manipulation techniques; Introduction to Big-O notation
Data Structures and Algorithms,Level 3, Stacks and queues; Linked lists (singly and doubly); Basic recursion problems; Time vs space trade-offs
Data Structures and Algorithms,Level 4," Binary search; Sorting algorithms (bubble, selection, insertion); Hashing fundamentals; Two-pointer technique"
Data Structures and Algorithms,Level 5, Trees basics; Binary trees and traversals; Recursion optimization; Basic greedy algorithms; Introduction to problem decomposition
Data Structures and Algorithms,Level 6, Binary search trees; Heaps and priority queues; Hash maps and collision handling; Sliding window technique; Introductory dynamic programming
Data Structures and Algorithms,Level 7, Graph representations; BFS and DFS; Graph cycle detection; Advanced dynamic programming; Backtracking problems
Data Structures and Algorithms,Level 8," Shortest path algorithms (Dijkstra, BFS-based); Union-Find and MST concepts; Advanced recursion and memoization; Time-space optimization strategies"
Data Structures and Algorithms,Level 9," Advanced graph algorithms (Topological sort, SCC); Trie and segment tree; Interval problems; Algorithmic complexity analysis at scale; Competitive programming patterns"
Data Structures and Algorithms,Level 10, Algorithm design paradigms; Custom data structure design; Performance optimization for large-scale systems; Memory-efficient algorithms
Object-Oriented Programming and Design,Level 1, Object-oriented paradigm overview; Classes and objects; Attributes and methods; Basic encapsulation
Object-Oriented Programming and Design,Level 2, Constructors and destructors; Access modifiers; Method overloading; Basic class relationships
Object-Oriented Programming and Design,Level 3, Inheritance concepts; Method overriding; Polymorphism basics; Abstraction using interfaces and abstract classes
Object-Oriented Programming and Design,Level 4, Composition vs inheritance; Real-world modeling using OOP; UML class diagrams; Encapsulation best practices
Object-Oriented Programming and Design,Level 5, SOLID principles; Interface-driven design; Dependency relationships; Code reusability techniques
